Date : 2020-06-09 11:23:53
Directory : d:\notes\myblog\source\_posts
Total : 138 files,  45573 codes, 79 comments, 2813 blanks, all 48465 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| HTML       |          3 |     23,921 |         43 |         35 |     23,999 |
| Markdown   |        128 |     19,890 |         21 |      2,712 |     22,623 |
| HyperSnips |          3 |      1,317 |          0 |         63 |      1,380 |
| XML        |          1 |        421 |         15 |          1 |        437 |
| Ini        |          2 |         19 |          0 |          2 |         21 |
| JSON       |          1 |          5 |          0 |          0 |          5 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                              |        138 |     45,573 |         79 |      2,813 |     48,465 |
| Flutter                                                                        |          2 |        302 |         13 |         59 |        374 |
| Flutter\Widget                                                                 |          1 |         64 |         13 |          9 |         86 |
| VIM                                                                            |          2 |        961 |          0 |        220 |      1,181 |
| test                                                                           |          4 |        504 |         58 |         32 |        594 |
| test\math                                                                      |          1 |        421 |         15 |          1 |        437 |
| 备份                                                                             |          3 |      1,317 |          0 |         63 |      1,380 |
| 备份\代码片段备份                                                                      |          3 |      1,317 |          0 |         63 |      1,380 |
| 备份\代码片段备份\HSNIPS                                                               |          3 |      1,317 |          0 |         63 |      1,380 |
| 密码学基础                                                                          |          1 |        335 |          0 |         24 |        359 |
| 工具                                                                             |         11 |        380 |          6 |        176 |        562 |
| 工具\Hexo                                                                        |          2 |         99 |          6 |         25 |        130 |
| 工具\chrome                                                                      |          1 |         34 |          0 |          6 |         40 |
| 工具\pdf                                                                         |          1 |         16 |          0 |          2 |         18 |
| 工具\windows效率                                                                   |          1 |         16 |          0 |          5 |         21 |
| 工具\写作                                                                          |          1 |         20 |          0 |          7 |         27 |
| 工具\数据库                                                                         |          1 |         62 |          0 |         79 |        141 |
| 工具\时间管理                                                                        |          1 |         25 |          0 |          7 |         32 |
| 工具\编辑器                                                                         |          2 |         27 |          0 |          9 |         36 |
| 技巧                                                                             |          5 |        226 |          0 |         76 |        302 |
| 技巧\windows                                                                     |          1 |         41 |          0 |         18 |         59 |
| 技巧\wsl                                                                         |          1 |         30 |          0 |          8 |         38 |
| 技巧\写作                                                                          |          2 |        136 |          0 |         44 |        180 |
